attack,alpha,component,n_runs,err_all_mean,err_all_std,err_all_min,err_all_max,err_static_mean,err_static_std,err_static_min,err_static_max,err_dynamic_mean,err_dynamic_std,err_dynamic_min,err_dynamic_max,err_accepted_mean,err_accepted_std,err_accepted_min,err_accepted_max,contamination_mean,contamination_std,contamination_min,contamination_max,n_confound_mean,n_confound_std,n_confound_min,n_confound_max,best_set_majority,best_set_agreement
minmax,0.1,Dcluster,3,0.049456622093884545,0.007008967891136763,0.041711195579700454,0.055362044622863905,0.13398193318332555,0.009033636201926223,0.12387830639469224,0.1412796600478722,0.08196014855056949,0.01032985009499972,0.0737752561028664,0.0935666785309289,0.08288740981805479,0.029408405145441924,0.06014822638652838,0.11609850894170999,0.04945662209388454,0.007008967891136762,0.04171119557970045,0.055362044622863905,4.903485025427775e-17,1.6263283156521022e-17,3.053113317719181e-17,6.106226635438361e-17,all,1.0
minmax,0.1,Dsim,3,0.019194929668787462,0.0019430637953713264,0.016975100636710223,0.020587273316013163,0.06755834165434042,0.005246557655728919,0.06338287743863993,0.07344745392897763,0.0465109161313606,0.014416703213189044,0.03708403305141813,0.06310677064534499,0.03599247208889462,0.014882684270818245,0.026604866658288612,0.05315218589461951,0.019194929668787452,0.0019430637953713299,0.016975100636710205,0.02058727331601316,4.445951708638892e-17,3.774290327145611e-18,4.163336342344337e-17,4.874572967494828e-17,all,1.0
minmax,0.25,DCV,3,0.07524555350400323,0.02638914704308328,0.05101495938430277,0.10336228215968964,0.14755174349315825,0.0205063541177093,0.13038182695891526,0.17025782189489513,0.1180851402662123,0.033971843159398274,0.08341221944877546,0.1513095693662887,0.13919346851523867,0.04752701044726617,0.08693936523693961,0.17984457743843213,0.07524555350400323,0.02638914704308327,0.05101495938430276,0.10336228215968961,5.412337245047638e-17,8.694409141350492e-18,4.5796699765787705e-17,6.314393452555578e-17,all,1.0
minmax,0.25,Dcluster,3,0.08568267958198002,0.027751063911905,0.0603136672137349,0.11532098937583882,0.18970759882161672,0.035779302520572855,0.16697758109691535,0.23095016129089352,0.1412853303869547,0.04188918116893924,0.09656863131375086,0.17961290398114976,0.16637978813449392,0.0579313744802591,0.10326610148008561,0.21713405490441265,0.08568267958198002,0.027751063911905,0.0603136672137349,0.11532098937583882,5.66676335485757e-17,1.4259947520761978e-17,4.302114220422482e-17,7.147060721024446e-17,all,1.0
minmax,0.25,Dsim,3,0.04899340439749663,0.02276224750780163,0.023609863173698058,0.0675908322811321,0.037811635765372255,0.010065488157883771,0.030713004894869677,0.04933096573509958,0.03425767961173323,0.004802854247972986,0.030725324966607744,0.03972645898191971,0.018288849774051638,0.005373559184011057,0.013081503263692812,0.023814473584059092,0.048993404397496616,0.022762247507801626,0.02360986317369805,0.06759083228113208,5.006122831089736e-17,1.0645106028104605e-17,3.981190377366772e-17,6.106226635438361e-17,accepted,1.0
minmax,0.5,DCV,3,0.03186022865996686,0.003314910974356777,0.028144611587359016,0.03451445234882617,0.03624216647937614,0.004082466050070968,0.03288498176296262,0.040786681400195444,0.021526871363797138,0.0021486871070864806,0.019588535628969846,0.0238373062510388,0.028369338469235793,0.0037003929378223066,0.02464072467114131,0.032040849632548635,0.03186022865996685,0.0033149109743567896,0.02814461158735898,0.03451445234882615,3.95516952522712e-17,6.0491874614164095e-18,3.538835890992686e-17,4.649058915617843e-17,dynamic,1.0
minmax,0.5,Dcluster,3,0.05890891739685592,0.005633036592359465,0.05242121745123187,0.06255701149457646,0.05173654953231246,0.005312606692291147,0.0485843179337873,0.05787022683186457,0.03233285728240618,0.0035505120363460295,0.028430744346627866,0.035373074756557356,0.0400665528445845,0.00494904830993029,0.03529746106076414,0.04517780037806581,0.058908917396855914,0.005633036592359452,0.052421217451231884,0.06255701149457646,3.885780586188048e-17,2.4037033579794534e-18,3.7470027081099036e-17,4.163336342344337e-17,dynamic,1.0
minmax,0.5,Dsim,3,0.07395594947034297,0.0031755639723608444,0.07034822597918458,0.0763276623857406,0.007618445798240996,0.0010180277643317647,0.006671246721218463,0.008694947451789253,0.007255104570490156,0.0005279078802348304,0.006734832738757937,0.007790330736717003,0.004828796281207141,0.0005556232515531476,0.00418722179637714,0.0051515413228540126,0.07395594947034297,0.0031755639723608366,0.0703482259791846,0.0763276623857406,4.3541559247017867e-17,7.552026556556593e-18,3.5301622736128027e-17,5.013350845572972e-17,accepted,1.0
minmax,1.0,DCV,3,0.07227610263426125,0.009385471607164195,0.06146811120107585,0.07837116142614337,0.04726052502955086,0.004789324102211323,0.041730359195952124,0.05004958180075998,0.03980796697868411,0.002182874814198328,0.03837579061539547,0.0423203278575516,0.03514862242756817,0.007033304190795733,0.0283629801827326,0.04240585325058603,0.07227610263426125,0.009385471607164199,0.061468111201075835,0.07837116142614335,3.4000580129145415e-17,8.180835260989948e-18,2.706168622523819e-17,4.302114220422482e-17,accepted,0.6667
minmax,1.0,Dcluster,3,0.1135573015785966,0.013750769564474139,0.09878863569870841,0.1259912428906264,0.05702077253079421,0.005887336413737667,0.05205159858721349,0.0635229723245661,0.054066002703279915,0.0030841100979029415,0.05053237131338225,0.05621599198321904,0.05699363254970816,0.008824662829334884,0.04762753640372862,0.06515257709550104,0.1135573015785966,0.013750769564474139,0.09878863569870841,0.1259912428906264,2.636779683484747e-17,8.412961752928093e-18,1.6653345369377347e-17,3.122502256758253e-17,dynamic,0.3333
minmax,1.0,Dsim,3,0.0664319418883524,0.002210821260591818,0.06491184220473276,0.06896814019247595,0.010828586244766097,0.0044284589580072765,0.005780824484947334,0.014060509958717615,0.009382719381914999,0.004746175915619548,0.00624990898084801,0.014843390888857434,0.006641779314955433,0.0015929801944895461,0.005375189860152665,0.008430236050376806,0.06643194188835241,0.002210821260591823,0.06491184220473276,0.06896814019247596,3.9898639947466563e-17,5.16571990715201e-18,3.4867941867133825e-17,4.5189546549195826e-17,accepted,0.6667
on_off,0.1,DCV,3,0.036508012270878985,0.007263620565243637,0.03106795710550978,0.044756559869276215,0.037838073871367395,0.0023915610436612855,0.03634444413129493,0.04059644706152178,0.04742805687085494,0.005370723187309131,0.04138598227952524,0.051659329073182936,0.06783901528825703,0.01051765160475626,0.056042823902514624,0.076238789791894,0.036508012270879,0.0072636205652436385,0.031067957105509792,0.04475655986927623,6.013708050052931e-17,9.74743781324629e-18,4.9960036108132046e-17,6.938893903907228e-17,all,0.6667
on_off,0.1,Dcluster,3,0.0716399399067939,0.0076855559573211826,0.06675004561916979,0.08049850309500797,0.05072929125604451,0.007770612914658089,0.04500951122445725,0.0595762934607104,0.05106603027623854,0.006188631654554933,0.04566510673897843,0.057818859311573524,0.09285418686819887,0.011416142350639485,0.0801357245578885,0.10221489158078803,0.07163993990679392,0.007685555957321177,0.06675004561916982,0.08049850309500797,5.088522196198634e-17,5.254045666869518e-18,4.718447854656915e-17,5.689893001203927e-17,static,0.6667
on_off,0.1,Dsim,3,0.07213231429728036,0.0043438288886941175,0.06720461701193578,0.07540684105872689,0.0163452272387219,0.005953981009796771,0.011631108479097823,0.02303618822160949,0.03067028526476359,0.005234557492254821,0.025977938964866266,0.03631600486704491,0.052927105218119254,0.007172175606347592,0.04600355450228695,0.060324415741964045,0.07213231429728036,0.0043438288886941305,0.06720461701193577,0.0754068410587269,3.9089102325344056e-17,3.991120842783738e-18,3.50414142147315e-17,4.302114220422482e-17,static,1.0
on_off,0.25,DCV,3,0.0873066763520798,0.015909229850446648,0.06894578833721421,0.09699891906361069,0.11626837799745711,0.022317660534043143,0.09309522828692801,0.13761875442192822,0.13735763078150456,0.009261033114181009,0.12734294985792913,0.14561248703866386,0.160342710384038,0.03131292419226512,0.12788059035124422,0.19036352361443074,0.08730667635207982,0.015909229850446627,0.06894578833721424,0.09699891906361066,5.019133257159562e-17,1.6454593624530474e-17,3.191891195797325e-17,6.38378239159465e-17,all,1.0
