attack,alpha,round,n_runs,gas_AUC_mean,gas_AUC_std,gas_AUC_min,gas_AUC_max,gas_gain_mean,gas_gain_std,gas_gain_min,gas_gain_max,L1L2_caught_mean,L1L2_caught_std,L1L2_caught_min,L1L2_caught_max,gas_caught_topk_mean,gas_caught_topk_std,gas_caught_topk_min,gas_caught_topk_max,n_attacker_mean,n_attacker_std,n_attacker_min,n_attacker_max
minmax,0.1,45,3,0.5780478395061729,0.12190177973636027,0.5,0.7185185185185186,-2.6666666666666665,4.163331998932265,-6.0,2.0,6.0,4.358898943540674,1.0,9.0,3.3333333333333335,1.5275252316519465,2.0,5.0,9.0,1.0,8.0,10.0
minmax,0.25,15,3,0.9637254901960784,0.031722920955614596,0.9411764705882353,1.0,3.3333333333333335,1.5275252316519468,2.0,5.0,2.0,1.0,1.0,3.0,5.333333333333333,2.0816659994661326,3.0,7.0,6.0,1.7320508075688772,4.0,7.0
minmax,0.25,25,3,0.8589891975308642,0.07173203012864138,0.796875,0.9375,2.3333333333333335,2.081665999466133,0.0,4.0,2.3333333333333335,2.081665999466133,0.0,4.0,4.666666666666667,2.0816659994661326,3.0,7.0,7.333333333333333,1.1547005383792517,6.0,8.0
minmax,0.25,35,3,0.883909119203237,0.0920084254024991,0.7777777777777778,0.9411764705882353,2.0,2.6457513110645907,-1.0,4.0,3.6666666666666665,2.081665999466133,2.0,6.0,5.666666666666667,0.5773502691896258,5.0,6.0,7.666666666666667,1.1547005383792517,7.0,9.0
minmax,0.25,45,3,0.9133691305469557,0.053615573738553676,0.8515625,0.9473684210526316,0.6666666666666666,2.3094010767585034,-2.0,2.0,4.333333333333333,2.516611478423583,2.0,7.0,5.0,1.0,4.0,6.0,6.666666666666667,1.5275252316519465,5.0,8.0
minmax,0.5,15,3,1.0,0.0,1.0,1.0,6.666666666666667,0.5773502691896258,6.0,7.0,0.0,0.0,0.0,0.0,6.666666666666667,0.5773502691896258,6.0,7.0,6.666666666666667,0.5773502691896258,6.0,7.0
minmax,0.5,25,3,1.0,0.0,1.0,1.0,6.666666666666667,1.5275252316519465,5.0,8.0,0.0,0.0,0.0,0.0,6.666666666666667,1.5275252316519465,5.0,8.0,6.666666666666667,1.5275252316519465,5.0,8.0
minmax,0.5,35,3,1.0,0.0,1.0,1.0,8.333333333333334,0.5773502691896257,8.0,9.0,0.0,0.0,0.0,0.0,8.333333333333334,0.5773502691896257,8.0,9.0,8.333333333333334,0.5773502691896257,8.0,9.0
minmax,0.5,45,3,1.0,0.0,1.0,1.0,8.0,2.0,6.0,10.0,0.0,0.0,0.0,0.0,8.0,2.0,6.0,10.0,8.0,2.0,6.0,10.0
minmax,1.0,15,3,1.0,0.0,1.0,1.0,6.333333333333333,0.5773502691896258,6.0,7.0,0.3333333333333333,0.5773502691896258,0.0,1.0,6.666666666666667,0.5773502691896258,6.0,7.0,6.666666666666667,0.5773502691896258,6.0,7.0
