config,attack,alpha,avg_DR_mean,avg_DR_std,avg_DR_min,avg_DR_max,avg_DR_n,avg_FPR_mean,avg_FPR_std,avg_FPR_min,avg_FPR_max,avg_FPR_n,final_acc_mean,final_acc_std,final_acc_min,final_acc_max,final_acc_n,avg_ASR_mean,avg_ASR_std,avg_ASR_min,avg_ASR_max,avg_ASR_n,warmup_ok_all
C1,minmax,1.0,0.9331717948717949,0.004818775600772306,0.9288615384615385,0.9383743589743591,3,0.018012820512820514,0.005655757569801142,0.012023076923076923,0.023261538461538462,3,0.329,0.11835222853837606,0.199,0.4305,3,,,,,0,True
C1,on_off,0.1,0.43866837606837605,0.031752496299628855,0.4084153846153846,0.47173333333333334,3,0.36241965811965815,0.024735951701855663,0.3344794871794872,0.381525641025641,3,0.6038333333333333,0.030664855018951765,0.5775,0.6375,3,,,,,0,True
C1,on_off,0.25,0.27545299145299146,0.014917102146372832,0.2582871794871795,0.2852692307692308,3,0.10396495726495726,0.006355344980258912,0.09679230769230769,0.1088948717948718,3,0.7356666666666666,0.019731531449265007,0.713,0.749,3,,,,,0,True
C1,on_off,0.5,0.2799598290598291,0.005684234476750165,0.2738153846153846,0.2850307692307692,3,0.05293504273504274,0.004573672143829955,0.04765384615384616,0.05558974358974359,3,0.7686666666666667,0.01628905563049417,0.75,0.78,3,,,,,0,True
C1,on_off,1.0,0.20512820512820515,3.3993498887762956e-17,0.20512820512820512,0.20512820512820512,3,0.007985470085470086,0.0013842196332183232,0.0067205128205128205,0.009464102564102564,3,0.7976666666666666,0.008607167555783548,0.788,0.8045,3,,,,,0,True
C1,sign_flip,0.1,1.0,0.0,1.0,1.0,3,0.30005299145299147,0.027182482942464593,0.2760153846153846,0.32955128205128204,3,0.6244999999999999,0.03750000000000003,0.587,0.662,3,,,,,0,True
C1,sign_flip,0.25,1.0,0.0,1.0,1.0,3,0.09504615384615385,0.0034088940791503833,0.09237179487179488,0.09888461538461539,3,0.7494999999999999,0.0096436507609929,0.7385,0.7565,3,,,,,0,True
C1,sign_flip,0.5,1.0,0.0,1.0,1.0,3,0.01268974358974359,0.005117750240229346,0.0070512820512820505,0.01704102564102564,3,0.7633333333333333,0.020434855843223673,0.7415,0.782,3,,,,,0,True
C1,sign_flip,1.0,1.0,0.0,1.0,1.0,3,0.0,0.0,0.0,0.0,3,0.7913333333333333,0.0068251984098144,0.784,0.7975,3,,,,,0,True
C1,slow_poison,0.1,0.8105495726495726,0.04108646775480085,0.7848564102564103,0.8579358974358974,3,0.43007008547008546,0.03549124377694504,0.3896461538461538,0.4561179487179487,3,0.6551666666666667,0.01650252505931543,0.6385,0.6715,3,,,,,0,True
C1,slow_poison,0.25,0.8057487179487178,0.022812490523085777,0.7794076923076922,0.8190692307692308,3,0.09018803418803419,0.009854982798169891,0.07918461538461538,0.0982025641025641,3,0.7185,0.021017849556983742,0.695,0.7355,3,,,,,0,True
C1,slow_poison,0.5,0.7965358974358975,0.019266976342521964,0.7744820512820513,0.8101,3,0.02493162393162393,0.004597247363627022,0.02072820512820513,0.02984102564102564,3,0.7676666666666666,0.01582982417253372,0.751,0.7825,3,,,,,0,True
C1,slow_poison,1.0,0.753623076923077,0.01013650714597069,0.7420128205128206,0.7607128205128205,3,0.0,0.0,0.0,0.0,3,0.7858333333333333,0.010774197572596027,0.7755,0.797,3,,,,,0,True
C2,alie,0.1,0.3331018518518518,0.05074861045341502,0.3005654761904762,0.3915773809523809,3,0.38159574794830214,0.01816240813754806,0.36850715944272444,0.4023312263501892,3,0.38483333333333336,0.25200214946173244,0.1025,0.587,3,,,,,0,True
C2,alie,1.0,0.0,0.0,0.0,0.0,3,0.006898291480334824,0.002292041411404265,0.004330065359477124,0.008736132610939112,3,0.7165,0.024979991993593614,0.6885,0.7365,3,,,,,0,True
C2,gaussian_noise,0.1,1.0,0.0,1.0,1.0,3,0.2754684753456038,0.02330069068214168,0.24968789928252005,0.29502536743442315,3,0.6118333333333333,0.03092868140308172,0.5765,0.634,3,,,,,0,True
C2,gaussian_noise,1.0,1.0,0.0,1.0,1.0,3,0.0,0.0,0.0,0.0,3,0.7871666666666667,0.007505553499465142,0.7795,0.7945,3,,,,,0,True
C2,label_flip,0.1,0.38212962962962965,0.052978745194826274,0.32379960317460316,0.4272619047619048,3,0.34626757866889446,0.02368122189627538,0.3230264540026537,0.3703656352892034,3,0.584,0.04255290824373818,0.5375,0.621,3,,,,,0,True
C2,label_flip,1.0,0.01365079365079365,0.01046359892196986,0.006696428571428571,0.025684523809523806,3,0.01120452786377709,0.005016697106215438,0.0059967320261437905,0.01600533195734434,3,0.7188333333333333,0.02064178609842992,0.695,0.731,3,,,,,0,True
C2,minmax,0.1,0.45860239297739297,0.2246448756304504,0.20459686147186149,0.631170634920635,3,0.2996398668554241,0.1441940159068064,0.1568730319388214,0.44521989716939403,3,0.09883333333333333,0.006788470618138765,0.091,0.103,3,,,,,0,True
C2,minmax,1.0,0.9232004569504569,0.011977643008326287,0.9110606060606061,0.9350090187590187,3,0.022445718053303188,0.0038271399966978165,0.019356156936458792,0.026726912256130518,3,0.4656666666666667,0.05459242926755811,0.413,0.522,3,,,,,0,True
C2,on_off,0.1,0.46586309523809527,0.011421869590319773,0.45627976190476194,0.47850198412698414,3,0.3252422979425688,0.031241792561405555,0.28920912882696936,0.3447614286942847,3,0.6533333333333333,0.03288363321370276,0.616,0.678,3,,,,,0,True
C2,on_off,1.0,0.20000000000000004,3.3993498887762956e-17,0.2,0.2,3,0.01179917727324848,0.0012404602141650567,0.01042892156862745,0.012845609735122119,3,0.7931666666666667,0.006788470618138788,0.789,0.801,3,,,,,0,True
C2,sign_flip,0.1,1.0,0.0,1.0,1.0,3,0.3007433250344477,0.03961687197230669,0.2615572596608907,0.34077738889077897,3,0.6438333333333334,0.015085865349171544,0.6265,0.654,3,,,,,0,True
C2,sign_flip,1.0,1.0,0.0,1.0,1.0,3,0.0,0.0,0.0,0.0,3,0.7839999999999999,0.010476163419878467,0.775,0.7955,3,,,,,0,True
C2,slow_poison,0.1,0.7927970177970178,0.023307558715286513,0.7728571428571429,0.8184208152958152,3,0.41129711179343537,0.021332015586618267,0.3908619281045752,0.43342509152783915,3,0.5956666666666667,0.042099089459670405,0.552,0.636,3,,,,,0,True
C2,slow_poison,1.0,0.7374206349206349,0.03995648620723513,0.7132837301587301,0.7835416666666666,3,0.0015046296296296294,0.0014765452340478095,0.0,0.002951388888888889,3,0.7864999999999999,0.011532562594670807,0.7735,0.7955,3,,,,,0,True
