attack,alpha,round,n_runs,gas_AUC_mean,gas_AUC_std,gas_AUC_min,gas_AUC_max,gas_gain_mean,gas_gain_std,gas_gain_min,gas_gain_max,L1L2_caught_mean,L1L2_caught_std,L1L2_caught_min,L1L2_caught_max,gas_caught_topk_mean,gas_caught_topk_std,gas_caught_topk_min,gas_caught_topk_max,n_attacker_mean,n_attacker_std,n_attacker_min,n_attacker_max,DR_probe_mean,DR_probe_std,DR_probe_min,DR_probe_max
gaussian_noise,0.5,25,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,7.0000,2.0000,5.0000,9.0000,7.0000,2.0000,5.0000,9.0000,7.0000,2.0000,5.0000,9.0000,1.0000,0.0000,1.0000,1.0000
gaussian_noise,0.5,35,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,7.3333,1.1547,6.0000,8.0000,7.3333,1.1547,6.0000,8.0000,7.3333,1.1547,6.0000,8.0000,1.0000,0.0000,1.0000,1.0000
gaussian_noise,0.5,45,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,6.0000,2.0000,4.0000,8.0000,6.0000,2.0000,4.0000,8.0000,6.0000,2.0000,4.0000,8.0000,1.0000,0.0000,1.0000,1.0000
gaussian_noise,1.0,15,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,7.3333,0.5774,7.0000,8.0000,7.3333,0.5774,7.0000,8.0000,7.3333,0.5774,7.0000,8.0000,1.0000,0.0000,1.0000,1.0000
gaussian_noise,1.0,25,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,7.0000,1.7321,5.0000,8.0000,7.0000,1.7321,5.0000,8.0000,7.0000,1.7321,5.0000,8.0000,1.0000,0.0000,1.0000,1.0000
gaussian_noise,1.0,35,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,7.0000,1.0000,6.0000,8.0000,7.0000,1.0000,6.0000,8.0000,7.0000,1.0000,6.0000,8.0000,1.0000,0.0000,1.0000,1.0000
gaussian_noise,1.0,45,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,6.6667,1.1547,6.0000,8.0000,6.6667,1.1547,6.0000,8.0000,6.6667,1.1547,6.0000,8.0000,1.0000,0.0000,1.0000,1.0000
label_flip,0.5,15,3,0.7461,0.0608,0.6759,0.7812,1.0000,1.0000,0.0000,2.0000,2.6667,0.5774,2.0000,3.0000,3.6667,1.5275,2.0000,5.0000,7.3333,1.1547,6.0000,8.0000,0.3611,0.0241,0.3333,0.3750
label_flip,0.5,25,3,0.7568,0.0077,0.7481,0.7630,1.6667,0.5774,1.0000,2.0000,3.3333,0.5774,3.0000,4.0000,5.0000,1.0000,4.0000,6.0000,8.0000,1.7321,6.0000,9.0000,0.4259,0.0849,0.3333,0.5000
label_flip,0.5,35,3,0.8000,0.0711,0.7227,0.8625,1.3333,0.5774,1.0000,2.0000,1.6667,0.5774,1.0000,2.0000,3.0000,0.0000,3.0000,3.0000,5.6667,1.5275,4.0000,7.0000,0.3254,0.1787,0.1429,0.5000
label_flip,0.5,45,3,0.6871,0.0947,0.5778,0.7429,3.0000,1.0000,2.0000,4.0000,2.0000,1.0000,1.0000,3.0000,5.0000,1.0000,4.0000,6.0000,9.3333,0.5774,9.0000,10.0000,0.2148,0.1118,0.1111,0.3333
label_flip,1.0,15,3,0.8162,0.0652,0.7630,0.8889,4.6667,0.5774,4.0000,5.0000,0.0000,0.0000,0.0000,0.0000,4.6667,0.5774,4.0000,5.0000,7.6667,1.5275,6.0000,9.0000,0.0000,0.0000,0.0000,0.0000
label_flip,1.0,25,3,0.7468,0.0957,0.6387,0.8203,3.0000,1.0000,2.0000,4.0000,0.3333,0.5774,0.0000,1.0000,3.3333,1.1547,2.0000,4.0000,7.3333,0.5774,7.0000,8.0000,0.0417,0.0722,0.0000,0.1250
label_flip,1.0,35,3,0.7572,0.1396,0.6574,0.9167,3.0000,1.0000,2.0000,4.0000,0.0000,0.0000,0.0000,0.0000,3.0000,1.0000,2.0000,4.0000,6.3333,0.5774,6.0000,7.0000,0.0000,0.0000,0.0000,0.0000
label_flip,1.0,45,3,0.6461,0.1535,0.4844,0.7899,2.6667,0.5774,2.0000,3.0000,0.0000,0.0000,0.0000,0.0000,2.6667,0.5774,2.0000,3.0000,7.3333,0.5774,7.0000,8.0000,0.0000,0.0000,0.0000,0.0000
minmax,0.5,15,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,6.3333,1.1547,5.0000,7.0000,6.3333,1.1547,5.0000,7.0000,6.3333,1.1547,5.0000,7.0000,1.0000,0.0000,1.0000,1.0000
minmax,0.5,25,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,8.0000,1.0000,7.0000,9.0000,8.0000,1.0000,7.0000,9.0000,8.0000,1.0000,7.0000,9.0000,1.0000,0.0000,1.0000,1.0000
minmax,0.5,35,3,1.0000,0.0000,1.0000,1.0000,0.6667,0.5774,0.0000,1.0000,5.0000,1.0000,4.0000,6.0000,5.6667,0.5774,5.0000,6.0000,5.6667,0.5774,5.0000,6.0000,0.8778,0.1072,0.8000,1.0000
minmax,0.5,45,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,7.0000,1.0000,6.0000,8.0000,7.0000,1.0000,6.0000,8.0000,7.0000,1.0000,6.0000,8.0000,1.0000,0.0000,1.0000,1.0000
minmax,1.0,15,3,1.0000,0.0000,1.0000,1.0000,0.6667,0.5774,0.0000,1.0000,7.3333,0.5774,7.0000,8.0000,8.0000,0.0000,8.0000,8.0000,8.0000,0.0000,8.0000,8.0000,0.9167,0.0722,0.8750,1.0000
minmax,1.0,25,3,1.0000,0.0000,1.0000,1.0000,0.6667,0.5774,0.0000,1.0000,6.3333,1.1547,5.0000,7.0000,7.0000,1.0000,6.0000,8.0000,7.0000,1.0000,6.0000,8.0000,0.9028,0.0867,0.8333,1.0000
minmax,1.0,35,3,0.9888,0.0194,0.9664,1.0000,-0.3333,0.5774,-1.0000,0.0000,6.6667,0.5774,6.0000,7.0000,6.3333,0.5774,6.0000,7.0000,6.6667,0.5774,6.0000,7.0000,1.0000,0.0000,1.0000,1.0000
minmax,1.0,45,3,0.9259,0.1283,0.7778,1.0000,-0.6667,2.0817,-3.0000,1.0000,7.0000,1.0000,6.0000,8.0000,6.3333,3.0551,3.0000,9.0000,7.3333,1.5275,6.0000,9.0000,0.9630,0.0641,0.8889,1.0000
on_off,0.5,15,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,7.6667,0.5774,7.0000,8.0000,7.6667,0.5774,7.0000,8.0000,7.6667,0.5774,7.0000,8.0000,1.0000,0.0000,1.0000,1.0000
on_off,0.5,25,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,8.0000,1.0000,7.0000,9.0000,8.0000,1.0000,7.0000,9.0000,8.0000,1.0000,7.0000,9.0000,1.0000,0.0000,1.0000,1.0000
on_off,0.5,35,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,8.0000,0.0000,8.0000,8.0000,8.0000,0.0000,8.0000,8.0000,8.0000,0.0000,8.0000,8.0000,1.0000,0.0000,1.0000,1.0000
on_off,0.5,45,3,1.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,7.6667,1.5275,6.0000,9.0000,7.6667,1.5275,6.0000,9.0000,7.6667,1.5275,6.0000,9.0000,1.0000,0.0000,1.0000,1.0000
