dataset,attack,alpha,round,n_seeds,L1_DR,L1_FPR,L2_DR,L2_FPR,Final_DR,Final_FPR
cifar-10,alie,0.1,48,3,0.05555555555555555,0.05555555555555555,0.5,0.46296296296296297,0.5,0.46296296296296297
cifar-10,alie,0.1,49,3,0.043478260869565216,0.02040816326530612,0.5652173913043478,0.4897959183673469,0.5652173913043478,0.4897959183673469
cifar-10,alie,0.1,50,3,0.05,0.019230769230769232,0.3,0.46153846153846156,0.3,0.46153846153846156
cifar-10,alie,0.25,11,3,0.0,0.037037037037037035,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555
cifar-10,alie,0.25,12,3,0.045454545454545456,0.02,0.22727272727272727,0.04,0.22727272727272727,0.04
cifar-10,alie,0.25,13,3,0.0,0.0196078431372549,0.047619047619047616,0.0392156862745098,0.047619047619047616,0.0392156862745098
cifar-10,alie,0.25,14,3,0.041666666666666664,0.0625,0.16666666666666666,0.10416666666666667,0.16666666666666666,0.10416666666666667
cifar-10,alie,0.25,15,3,0.07692307692307693,0.06521739130434782,0.2692307692307692,0.06521739130434782,0.2692307692307692,0.06521739130434782
cifar-10,alie,0.25,16,3,0.0,0.03773584905660377,0.10526315789473684,0.09433962264150944,0.10526315789473684,0.09433962264150944
cifar-10,alie,0.25,17,3,0.05,0.038461538461538464,0.2,0.057692307692307696,0.2,0.057692307692307696
cifar-10,alie,0.25,18,3,0.0,0.03636363636363636,0.17647058823529413,0.09090909090909091,0.17647058823529413,0.09090909090909091
cifar-10,alie,0.25,19,3,0.0,0.020833333333333332,0.125,0.041666666666666664,0.125,0.041666666666666664
cifar-10,alie,0.25,20,3,0.041666666666666664,0.041666666666666664,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.08333333333333333
cifar-10,alie,0.25,21,3,0.0,0.02040816326530612,0.043478260869565216,0.12244897959183673,0.043478260869565216,0.12244897959183673
cifar-10,alie,0.25,22,3,0.0,0.0625,0.041666666666666664,0.0625,0.041666666666666664,0.0625
cifar-10,alie,0.25,23,3,0.0,0.037037037037037035,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.1111111111111111
cifar-10,alie,0.25,24,3,0.0,0.0392156862745098,0.14285714285714285,0.11764705882352941,0.14285714285714285,0.11764705882352941
cifar-10,alie,0.25,25,3,0.0,0.04,0.13636363636363635,0.04,0.13636363636363635,0.04
cifar-10,alie,0.25,26,3,0.0,0.038461538461538464,0.0,0.1346153846153846,0.0,0.1346153846153846
cifar-10,alie,0.25,27,3,0.0,0.019230769230769232,0.2,0.09615384615384616,0.2,0.09615384615384616
cifar-10,alie,0.25,28,3,0.045454545454545456,0.04,0.18181818181818182,0.06,0.18181818181818182,0.06
cifar-10,alie,0.25,29,3,0.0,0.041666666666666664,0.08333333333333333,0.125,0.08333333333333333,0.125
cifar-10,alie,0.25,30,3,0.05263157894736842,0.05660377358490566,0.10526315789473684,0.1509433962264151,0.10526315789473684,0.1509433962264151
cifar-10,alie,0.25,31,3,0.047619047619047616,0.0392156862745098,0.19047619047619047,0.13725490196078433,0.19047619047619047,0.13725490196078433
cifar-10,alie,0.25,32,3,0.05,0.038461538461538464,0.2,0.057692307692307696,0.2,0.057692307692307696
cifar-10,alie,0.25,33,3,0.045454545454545456,0.06,0.22727272727272727,0.12,0.22727272727272727,0.12
cifar-10,alie,0.25,34,3,0.0,0.057692307692307696,0.05,0.11538461538461539,0.05,0.11538461538461539
cifar-10,alie,0.25,35,3,0.0,0.02040816326530612,0.043478260869565216,0.10204081632653061,0.043478260869565216,0.10204081632653061
cifar-10,alie,0.25,36,3,0.0,0.02,0.09090909090909091,0.06,0.09090909090909091,0.06
cifar-10,alie,0.25,37,3,0.038461538461538464,0.043478260869565216,0.19230769230769232,0.13043478260869565,0.19230769230769232,0.13043478260869565
cifar-10,alie,0.25,38,3,0.04,0.02127659574468085,0.16,0.0851063829787234,0.16,0.0851063829787234
cifar-10,alie,0.25,39,3,0.0,0.0,0.1,0.07692307692307693,0.1,0.07692307692307693
cifar-10,alie,0.25,40,3,0.0,0.01818181818181818,0.17647058823529413,0.07272727272727272,0.17647058823529413,0.07272727272727272
cifar-10,alie,0.25,41,3,0.0,0.0196078431372549,0.23809523809523808,0.11764705882352941,0.23809523809523808,0.11764705882352941
cifar-10,alie,0.25,42,3,0.05263157894736842,0.018867924528301886,0.15789473684210525,0.11320754716981132,0.15789473684210525,0.11320754716981132
cifar-10,alie,0.25,43,3,0.0,0.058823529411764705,0.047619047619047616,0.13725490196078433,0.047619047619047616,0.13725490196078433
cifar-10,alie,0.25,44,3,0.0,0.018867924528301886,0.05263157894736842,0.07547169811320754,0.05263157894736842,0.07547169811320754
cifar-10,alie,0.25,45,3,0.0,0.0425531914893617,0.12,0.1276595744680851,0.12,0.1276595744680851
cifar-10,alie,0.25,46,3,0.0,0.0425531914893617,0.08,0.0851063829787234,0.08,0.0851063829787234
cifar-10,alie,0.25,47,3,0.041666666666666664,0.020833333333333332,0.16666666666666666,0.0625,0.16666666666666666,0.0625
cifar-10,alie,0.25,48,3,0.047619047619047616,0.0196078431372549,0.23809523809523808,0.058823529411764705,0.23809523809523808,0.058823529411764705
cifar-10,alie,0.25,49,3,0.08333333333333333,0.041666666666666664,0.25,0.125,0.25,0.125
cifar-10,alie,0.25,50,3,0.047619047619047616,0.0,0.23809523809523808,0.058823529411764705,0.23809523809523808,0.058823529411764705
cifar-10,alie,0.5,11,3,0.045454545454545456,0.04,0.045454545454545456,0.06,0.045454545454545456,0.06
cifar-10,alie,0.5,12,3,0.08333333333333333,0.0,0.20833333333333334,0.020833333333333332,0.20833333333333334,0.020833333333333332
cifar-10,alie,0.5,13,3,0.17647058823529413,0.07272727272727272,0.29411764705882354,0.12727272727272726,0.29411764705882354,0.12727272727272726
cifar-10,alie,0.5,14,3,0.05263157894736842,0.05660377358490566,0.10526315789473684,0.09433962264150944,0.10526315789473684,0.09433962264150944
cifar-10,alie,0.5,15,3,0.08695652173913043,0.04081632653061224,0.17391304347826086,0.08163265306122448,0.17391304347826086,0.08163265306122448
cifar-10,alie,0.5,16,3,0.047619047619047616,0.058823529411764705,0.047619047619047616,0.0784313725490196,0.047619047619047616,0.0784313725490196
cifar-10,alie,0.5,17,3,0.13043478260869565,0.10204081632653061,0.21739130434782608,0.12244897959183673,0.21739130434782608,0.12244897959183673
cifar-10,alie,0.5,18,3,0.09090909090909091,0.02,0.13636363636363635,0.08,0.13636363636363635,0.08
cifar-10,alie,0.5,19,3,0.05,0.0,0.1,0.057692307692307696,0.1,0.057692307692307696
cifar-10,alie,0.5,20,3,0.1875,0.0,0.3125,0.017857142857142856,0.3125,0.017857142857142856
cifar-10,alie,0.5,21,3,0.13636363636363635,0.0,0.2727272727272727,0.06,0.2727272727272727,0.06
cifar-10,alie,0.5,22,3,0.041666666666666664,0.10416666666666667,0.125,0.125,0.125,0.125
cifar-10,alie,0.5,23,3,0.058823529411764705,0.03636363636363636,0.23529411764705882,0.05454545454545454,0.23529411764705882,0.05454545454545454
cifar-10,alie,0.5,24,3,0.1,0.07692307692307693,0.15,0.09615384615384616,0.15,0.09615384615384616
cifar-10,alie,0.5,25,3,0.05555555555555555,0.018518518518518517,0.2222222222222222,0.05555555555555555,0.2222222222222222,0.05555555555555555
cifar-10,alie,0.5,26,3,0.05,0.019230769230769232,0.25,0.057692307692307696,0.25,0.057692307692307696
cifar-10,alie,0.5,27,3,0.1,0.0,0.25,0.057692307692307696,0.25,0.057692307692307696
cifar-10,alie,0.5,28,3,0.0,0.038461538461538464,0.15,0.057692307692307696,0.15,0.057692307692307696
cifar-10,alie,0.5,29,3,0.05555555555555555,0.07407407407407407,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.1111111111111111
cifar-10,alie,0.5,30,3,0.10526315789473684,0.0,0.21052631578947367,0.018867924528301886,0.21052631578947367,0.018867924528301886
cifar-10,alie,0.5,31,3,0.058823529411764705,0.05454545454545454,0.11764705882352941,0.09090909090909091,0.11764705882352941,0.09090909090909091
cifar-10,alie,0.5,32,3,0.14285714285714285,0.0196078431372549,0.19047619047619047,0.0392156862745098,0.19047619047619047,0.0392156862745098
cifar-10,alie,0.5,33,3,0.047619047619047616,0.0,0.14285714285714285,0.0392156862745098,0.14285714285714285,0.0392156862745098
cifar-10,alie,0.5,34,3,0.05263157894736842,0.0,0.10526315789473684,0.0,0.10526315789473684,0.0
cifar-10,alie,0.5,35,3,0.12,0.02127659574468085,0.28,0.0851063829787234,0.28,0.0851063829787234
cifar-10,alie,0.5,36,3,0.08695652173913043,0.02040816326530612,0.13043478260869565,0.08163265306122448,0.13043478260869565,0.08163265306122448
cifar-10,alie,0.5,37,3,0.09090909090909091,0.02,0.22727272727272727,0.04,0.22727272727272727,0.04
cifar-10,alie,0.5,38,3,0.12,0.0425531914893617,0.16,0.06382978723404255,0.16,0.06382978723404255
cifar-10,alie,0.5,39,3,0.045454545454545456,0.08,0.22727272727272727,0.08,0.22727272727272727,0.08
cifar-10,alie,0.5,40,3,0.08695652173913043,0.061224489795918366,0.21739130434782608,0.061224489795918366,0.21739130434782608,0.061224489795918366
cifar-10,alie,0.5,41,3,0.08,0.0851063829787234,0.28,0.0851063829787234,0.28,0.0851063829787234
cifar-10,alie,0.5,42,3,0.09523809523809523,0.0,0.23809523809523808,0.0196078431372549,0.23809523809523808,0.0196078431372549
cifar-10,alie,0.5,43,3,0.058823529411764705,0.03636363636363636,0.17647058823529413,0.05454545454545454,0.17647058823529413,0.05454545454545454
cifar-10,alie,0.5,44,3,0.11538461538461539,0.0,0.23076923076923078,0.06521739130434782,0.23076923076923078,0.06521739130434782
cifar-10,alie,0.5,45,3,0.1,0.057692307692307696,0.25,0.11538461538461539,0.25,0.11538461538461539
cifar-10,alie,0.5,46,3,0.17647058823529413,0.0,0.29411764705882354,0.03636363636363636,0.29411764705882354,0.03636363636363636
cifar-10,alie,0.5,47,3,0.12,0.0,0.16,0.02127659574468085,0.16,0.02127659574468085
cifar-10,alie,0.5,48,3,0.1111111111111111,0.037037037037037035,0.2222222222222222,0.037037037037037035,0.2222222222222222,0.037037037037037035
cifar-10,alie,0.5,49,3,0.05,0.019230769230769232,0.2,0.038461538461538464,0.2,0.038461538461538464
cifar-10,alie,0.5,50,3,0.08695652173913043,0.04081632653061224,0.17391304347826086,0.04081632653061224,0.17391304347826086,0.04081632653061224
cifar-10,alie,1.0,11,3,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.020833333333333332
cifar-10,alie,1.0,12,3,0.0,0.0,0.0,0.0,0.0,0.0
cifar-10,alie,1.0,13,3,0.0,0.02040816326530612,0.0,0.02040816326530612,0.0,0.02040816326530612
cifar-10,alie,1.0,14,3,0.0,0.0,0.0,0.0,0.0,0.0
