dataset,attack,alpha,round,l1_median_mean,l1_mad_mean,l1_thr_reject_mean,l2_thr_distance_mean,n_seeds
cifar-10,gaussian_noise,0.1,49,171.78883333333332,114.72059999999999,630.6711999999999,256.91333333333336,3
cifar-10,gaussian_noise,0.1,50,160.583,110.86033333333334,604.0243,242.15666666666667,3
cifar-10,gaussian_noise,0.25,11,145.39523333333332,45.50809999999999,327.4276,124.62666666666667,3
cifar-10,gaussian_noise,0.25,12,136.12396666666666,48.69526666666667,330.9051,134.85333333333332,3
cifar-10,gaussian_noise,0.25,13,138.9512,44.10933333333333,315.3886333333333,132.34333333333333,3
cifar-10,gaussian_noise,0.25,14,146.27943333333334,59.600233333333335,384.68043333333327,148.48666666666668,3
cifar-10,gaussian_noise,0.25,15,142.37673333333333,40.70376666666667,305.19176666666664,123.38,3
cifar-10,gaussian_noise,0.25,16,140.8623,44.93503333333333,320.60246666666666,133.02666666666667,3
cifar-10,gaussian_noise,0.25,17,145.36536666666666,51.739133333333335,352.32186666666666,140.59333333333333,3
cifar-10,gaussian_noise,0.25,18,142.64636666666667,60.9838,386.5816,161.09333333333333,3
cifar-10,gaussian_noise,0.25,19,138.33153333333334,50.3311,339.656,145.14333333333335,3
cifar-10,gaussian_noise,0.25,20,142.91823333333335,45.952333333333335,326.7275666666667,137.49666666666667,3
cifar-10,gaussian_noise,0.25,21,143.08856666666668,51.29213333333333,348.2571,140.75,3
cifar-10,gaussian_noise,0.25,22,147.94376666666668,54.288199999999996,365.09656666666666,153.72,3
cifar-10,gaussian_noise,0.25,23,148.88840000000002,50.0601,349.12879999999996,128.77333333333334,3
cifar-10,gaussian_noise,0.25,24,147.44166666666663,53.0959,359.82529999999997,153.49666666666667,3
cifar-10,gaussian_noise,0.25,25,143.07976666666664,49.814600000000006,342.338,146.68,3
cifar-10,gaussian_noise,0.25,26,142.07583333333335,38.4635,295.9298333333333,130.4,3
cifar-10,gaussian_noise,0.25,27,153.11613333333332,59.128366666666665,389.62966666666665,152.29333333333332,3
cifar-10,gaussian_noise,0.25,28,144.3199,49.86403333333333,343.7760666666666,163.35999999999999,3
cifar-10,gaussian_noise,0.25,29,141.4081666666667,45.05656666666667,321.63443333333333,147.47666666666666,3
cifar-10,gaussian_noise,0.25,30,142.8171,46.114733333333334,327.2760333333333,144.81333333333336,3
cifar-10,gaussian_noise,0.25,31,148.9777,53.982866666666666,364.90913333333333,149.45000000000002,3
cifar-10,gaussian_noise,0.25,32,150.31216666666666,64.35983333333333,407.7515,161.16333333333333,3
