dataset,attack,alpha,module,n_seeds,DR_mean,DR_std,FPR_mean,FPR_std
cifar-10,label_flip,0.5,L2,3,0.3102782160589436,0.04648745693301636,0.04707676282263934,0.012563819427245859
cifar-10,label_flip,0.5,Final,3,0.3102782160589436,0.04648745693301636,0.04707676282263934,0.012563819427245859
cifar-10,label_flip,1.0,L1,3,0.0022636326316072177,0.0019652230511394745,0.011451144322722156,0.0016071828120526232
cifar-10,label_flip,1.0,L2,3,0.006882977866276861,0.0035479365633040005,0.011451144322722156,0.0016071828120526232
cifar-10,label_flip,1.0,Final,3,0.006882977866276861,0.0035479365633040005,0.011451144322722156,0.0016071828120526232
cifar-10,minmax,0.1,L1,3,0.0023148148148148147,0.004009376869372401,0.009922307760079137,0.00682355579625096
cifar-10,minmax,0.1,L2,3,0.39724433770525364,0.12760289948258902,0.25453757699243545,0.06712630817099573
cifar-10,minmax,0.1,Final,3,0.39724433770525364,0.12760289948258902,0.25453757699243545,0.06712630817099573
cifar-10,minmax,0.25,L1,3,0.02251993620414673,0.010828770599154703,0.04366946021447238,0.013668825703514501
cifar-10,minmax,0.25,L2,3,0.6963955342902711,0.039493343259201716,0.15877444354329998,0.08141659932021224
cifar-10,minmax,0.25,Final,3,0.6963955342902711,0.039493343259201716,0.15877444354329998,0.08141659932021224
cifar-10,minmax,0.5,L1,3,0.05840133732058391,0.014441285268072519,0.04993734826152032,0.007727252571464909
cifar-10,minmax,0.5,L2,3,0.977817046804719,0.0022149189540216514,0.08058586853269276,0.01594429118976804
cifar-10,minmax,0.5,Final,3,0.977817046804719,0.0022149189540216514,0.08058586853269276,0.01594429118976804
cifar-10,minmax,1.0,L1,3,0.0,0.0,0.012850142283801604,0.002965721974312353
cifar-10,minmax,1.0,L2,3,0.9162974358029582,0.006774302509416637,0.015312279799216013,0.004599880264760032
cifar-10,minmax,1.0,Final,3,0.9162974358029582,0.006774302509416637,0.015312279799216013,0.004599880264760032
cifar-10,none,0.5,L1,3,,0.0,0.04548611111111111,0.004697135159190516
cifar-10,none,0.5,L2,3,,0.0,0.06597222222222222,0.009451845547789032
cifar-10,none,0.5,Final,3,,0.0,0.06597222222222222,0.009451845547789032
cifar-10,none,1.0,L1,3,,0.0,0.0024305555555555556,0.0015911721163041112
cifar-10,none,1.0,L2,3,,0.0,0.0024305555555555556,0.0015911721163041112
cifar-10,none,1.0,Final,3,,0.0,0.0024305555555555556,0.0015911721163041112
cifar-10,on_off,0.1,L1,3,0.015277672003222905,0.005156602975135611,0.013748160611069949,0.005836829556991509
cifar-10,on_off,0.1,L2,3,0.46690043763072353,0.03704373577772537,0.3511143772561347,0.013679358825588857
cifar-10,on_off,0.1,Final,3,0.46690043763072353,0.03704373577772537,0.3511143772561347,0.013679358825588857
cifar-10,on_off,0.25,L1,3,0.01744269732980004,0.009680241489023866,0.0398060732588102,0.010441532137682575
cifar-10,on_off,0.25,L2,3,0.26080099918300925,0.020514281808941527,0.09092274622416423,0.014325121282092245
cifar-10,on_off,0.25,Final,3,0.26080099918300925,0.020514281808941527,0.09092274622416423,0.014325121282092245
cifar-10,on_off,0.5,L1,3,0.07506152677123383,0.009853949365822939,0.033517908022074945,0.006352282127786597
cifar-10,on_off,0.5,L2,3,0.2695450988397809,0.003856907549372942,0.050021090566578615,0.011363757437749799
cifar-10,on_off,0.5,Final,3,0.2695450988397809,0.003856907549372942,0.050021090566578615,0.011363757437749799
cifar-10,on_off,1.0,L1,3,0.0,0.0,0.006994246519704269,0.0031943997073156844
