attack,alpha,module,DR_cifar,DR_fashion,delta_DR,FPR_cifar,FPR_fashion,delta_FPR
on_off,0.25,Final,0.26080099918300925,0.2829020979020979,0.022101098719088663,0.09092274622416423,0.06917997136691754,0.021742774857246683
on_off,0.25,L1,0.01744269732980004,0.025023310023310024,0.0075806126935099825,0.0398060732588102,0.06819879352031051,0.02839272026150031
on_off,0.25,L2,0.26080099918300925,0.2829020979020979,0.022101098719088663,0.09092274622416423,0.06917997136691754,0.021742774857246683
on_off,0.5,Final,0.2695450988397809,0.2074331676634333,0.062111931176347585,0.050021090566578615,0.018760861032298754,0.03126022953427986
on_off,0.5,L1,0.07506152677123383,0.0,0.07506152677123383,0.033517908022074945,0.006900375253994728,0.026617532768080217
on_off,0.5,L2,0.2695450988397809,0.2074331676634333,0.062111931176347585,0.050021090566578615,0.018760861032298754,0.03126022953427986
on_off,1.0,Final,0.19263057430353148,0.2198119520296489,0.027181377726117423,0.00749250262334154,0.025681947859513776,0.018189445236172237
on_off,1.0,L1,0.0,0.021068418501071995,0.021068418501071995,0.006994246519704269,0.015318610929613577,0.008324364409909309
on_off,1.0,L2,0.19263057430353148,0.2198119520296489,0.027181377726117423,0.00749250262334154,0.025681947859513776,0.018189445236172237
sign_flip,0.1,Final,1.0,1.0,0.0,0.2757766269370761,0.02816334756632451,0.2476132793707516
sign_flip,0.1,L1,1.0,1.0,0.0,0.0,0.0029690380998377494,0.0029690380998377494
sign_flip,0.1,L2,1.0,1.0,0.0,0.2757766269370761,0.02816334756632451,0.2476132793707516
sign_flip,0.25,Final,1.0,1.0,0.0,0.09251829873169552,0.06353078894428786,0.02898750978740766
sign_flip,0.25,L1,1.0,1.0,0.0,0.009874599552491207,0.008401963850951377,0.0014726357015398296
sign_flip,0.25,L2,1.0,1.0,0.0,0.09251829873169552,0.06353078894428786,0.02898750978740766
sign_flip,0.5,Final,1.0,1.0,0.0,0.008847414664221917,0.0,0.008847414664221917
sign_flip,0.5,L1,1.0,1.0,0.0,0.0,0.0,0.0
sign_flip,0.5,L2,1.0,1.0,0.0,0.008847414664221917,0.0,0.008847414664221917
sign_flip,1.0,Final,1.0,1.0,0.0,0.0,0.006429319957082017,0.006429319957082017
sign_flip,1.0,L1,1.0,1.0,0.0,0.0,0.0,0.0
sign_flip,1.0,L2,1.0,1.0,0.0,0.0,0.006429319957082017,0.006429319957082017
