dataset,attack,alpha,seed,collapse_round,round,offset,DR,FPR,n_accepted_true,n_attacker_leaked_proxy,l1_mad,l2_thr_distance,hypothesis
fashion-mnist,minmax,0.25,42,12,11,-1,0.5,0.0625,19.0,4,32.3215,141.14,H1_SOT
fashion-mnist,minmax,0.25,42,12,12,0,0.4444444444444444,0.06666666666666667,19.0,5,31.814,143.44,H1_SOT
fashion-mnist,minmax,0.25,123,13,11,-2,0.625,0.0625,18.0,3,39.316,140.66,H1_SOT
fashion-mnist,minmax,0.25,123,13,12,-1,0.8333333333333334,0.05555555555555555,18.0,1,35.4941,135.46,KHONG_RO
fashion-mnist,minmax,0.25,123,13,13,0,0.5,0.1111111111111111,19.0,3,42.5497,127.13,H1_SOT
fashion-mnist,minmax,0.25,777,13,11,-2,1.0,0.05,19.0,0,24.3505,104.43,KHONG_RO
fashion-mnist,minmax,0.25,777,13,12,-1,0.6,0.10526315789473684,19.0,2,36.7074,125.6,H1_SOT
fashion-mnist,minmax,0.25,777,13,13,0,0.375,0.0625,20.0,5,37.1253,142.29,H1_SOT
fashion-mnist,minmax,0.5,42,19,16,-3,0.42857142857142855,0.0,17.0,4,17.3873,100.14,H1_SOT
fashion-mnist,minmax,0.5,42,19,17,-2,0.4444444444444444,0.0,15.0,5,21.2245,129.82,H1_SOT
fashion-mnist,minmax,0.5,42,19,18,-1,0.7142857142857143,0.0,16.0,2,21.1013,99.13,H1_SOT
fashion-mnist,minmax,0.5,42,19,19,0,0.4,0.0,20.0,6,20.7469,157.72,H1_SOT
fashion-mnist,minmax,0.5,123,29,26,-3,0.2857142857142857,0.058823529411764705,16.0,5,12.053,82.82,H1_SOT
fashion-mnist,minmax,0.5,123,29,27,-2,0.2857142857142857,0.0,17.0,5,15.5707,102.05,H1_SOT
fashion-mnist,minmax,0.5,123,29,28,-1,0.6,0.05263157894736842,18.0,2,24.2602,85.7,H1_SOT
fashion-mnist,minmax,0.5,123,29,29,0,0.375,0.0625,20.0,5,12.1562,104.12,H1_SOT
fashion-mnist,minmax,0.5,777,42,39,-3,0.2222222222222222,0.0,15.0,7,11.5606,97.49,H1_SOT
fashion-mnist,minmax,0.5,777,42,40,-2,0.3333333333333333,0.0,16.0,4,12.861,87.23,H1_SOT
fashion-mnist,minmax,0.5,777,42,41,-1,0.5714285714285714,0.0,17.0,3,22.7171,101.95,H1_SOT
fashion-mnist,minmax,0.5,777,42,42,0,0.5,0.0,19.0,5,20.8766,142.95,H1_SOT
