dataset,attack,alpha,seed,round,n_total,n_attacker_gt,n_l1_rejected,n_l1_flagged,n_l1_accepted,n_l2_rejected,n_final_rejected,n_accepted_for_aggregation,n_total_true,accuracy,GDS,H,theta_adj_signal,n_rescued,n_confirmed,n_flagged_from_l1_summary,l1_median,l1_mad,l1_thr_reject,l1_thr_flag,l2_thr_distance,l2_thr_cosine
fashion-mnist,alie,0.5,42,48,24,7.0,1,0,23,1,1,21.0,24.0,0.0995,0.1411,0.067,0.37,0.0,0.0,0.0,159.4713,12.4496,209.2699,196.8203,65.18,0.8
fashion-mnist,alie,0.5,42,49,24,7.0,0,0,24,0,0,21.0,24.0,0.0985,0.1817,0.0834,0.37,0.0,0.0,0.0,159.4068,12.2202,208.2878,196.0676,61.55,0.8
fashion-mnist,alie,0.5,42,50,24,8.0,0,0,24,0,0,19.0,24.0,0.087,0.2376,0.0779,0.37,0.0,0.0,0.0,159.4207,23.7045,254.2386,230.5341,83.55,0.8
fashion-mnist,alie,0.5,777,11,24,7.0,0,0,24,0,0,20.0,24.0,0.8875,0.2823,0.0454,0.3679,0.0,0.0,0.0,159.7458,24.2294,256.6634,232.434,67.67,0.8
fashion-mnist,alie,0.5,777,12,24,10.0,0,0,24,0,0,17.0,24.0,0.8955,0.227,0.0606,0.3679,0.0,0.0,0.0,159.2187,22.9835,251.1527,228.1692,67.79,0.8
fashion-mnist,alie,0.5,777,13,24,7.0,0,0,24,0,0,20.0,24.0,0.903,0.1895,0.0575,0.3679,0.0,0.0,0.0,146.6933,23.7777,241.8041,218.0264,68.11,0.8
fashion-mnist,alie,0.5,777,14,24,8.0,0,0,24,0,0,22.0,24.0,0.904,0.3885,0.0578,0.3679,0.0,0.0,0.0,158.5397,24.2801,255.6602,231.38,73.22,0.8
fashion-mnist,alie,0.5,777,15,24,10.0,0,0,24,0,0,21.0,24.0,0.896,0.2191,0.0599,0.3679,0.0,0.0,0.0,157.7611,18.2363,230.7064,212.4701,65.18,0.8
fashion-mnist,alie,0.5,777,16,24,9.0,1,0,23,1,1,20.0,24.0,0.9005,0.1979,0.06,0.3679,0.0,0.0,0.0,158.154,12.5905,208.516,195.9255,61.26,0.8
fashion-mnist,alie,0.5,777,17,24,7.0,0,0,24,0,0,21.0,24.0,0.9,0.21,0.0675,0.3679,0.0,0.0,0.0,158.1119,18.1449,230.6916,212.5466,65.26,0.8
fashion-mnist,alie,0.5,777,18,24,7.0,0,0,24,0,0,20.0,24.0,0.9105,0.1758,0.0579,0.3679,0.0,0.0,0.0,158.7604,12.1243,207.2577,195.1334,50.04,0.8
fashion-mnist,alie,0.5,777,19,24,10.0,0,0,24,0,0,19.0,24.0,0.1,0.1845,0.0562,0.3679,0.0,0.0,0.0,157.5234,18.3958,231.1066,212.7108,65.13,0.8
fashion-mnist,alie,0.5,777,20,24,9.0,1,0,23,1,1,20.0,24.0,0.104,0.1992,0.0563,0.3679,0.0,0.0,0.0,158.4933,12.4016,208.0997,195.6981,56.01,0.8
fashion-mnist,alie,0.5,777,21,24,7.0,1,0,23,1,1,22.0,24.0,0.9085,0.2199,0.0637,0.3679,0.0,0.0,0.0,141.5012,19.3703,218.9826,199.6122,74.39,0.8
fashion-mnist,alie,0.5,777,22,24,6.0,0,1,23,0,0,16.0,24.0,0.9035,0.2569,0.0462,0.3679,1.0,0.0,1.0,165.0385,18.0872,237.3871,219.3,58.8,0.8
fashion-mnist,alie,0.5,777,23,24,7.0,0,0,24,0,0,21.0,24.0,0.894,0.1583,0.0622,0.3679,0.0,0.0,0.0,158.6362,12.2649,207.6958,195.4309,58.43,0.8
fashion-mnist,alie,0.5,777,24,24,5.0,0,0,24,0,0,19.0,24.0,0.9155,0.2433,0.0477,0.3679,0.0,0.0,0.0,158.6739,17.388,228.2259,210.8379,68.69,0.8
fashion-mnist,alie,0.5,777,25,24,8.0,1,0,23,1,1,22.0,24.0,0.904,0.2137,0.0551,0.3679,0.0,0.0,0.0,157.8009,12.859,209.237,196.3779,68.09,0.8
fashion-mnist,alie,0.5,777,26,24,6.0,1,2,21,2,2,21.0,24.0,0.897,0.0728,0.0458,0.3679,1.0,1.0,2.0,159.7361,11.8296,207.0545,195.2249,51.55,0.8
fashion-mnist,alie,0.5,777,27,24,7.0,0,0,24,0,0,20.0,24.0,0.9165,0.2926,0.0663,0.3679,0.0,0.0,0.0,154.1057,24.3987,251.7003,227.3016,75.7,0.8
fashion-mnist,alie,0.5,777,28,24,7.0,0,0,24,0,0,21.0,24.0,0.9135,0.2025,0.0369,0.3679,0.0,0.0,0.0,158.4565,18.0816,230.7827,212.7012,64.29,0.8
fashion-mnist,alie,0.5,777,29,24,7.0,0,1,23,0,0,21.0,24.0,0.9225,0.1814,0.0531,0.3679,1.0,0.0,1.0,157.9618,18.0883,230.3152,212.2269,66.79,0.8
fashion-mnist,alie,0.5,777,30,24,8.0,0,1,23,1,1,20.0,24.0,0.104,0.2182,0.0647,0.3679,0.0,1.0,1.0,152.4932,18.3809,226.0168,207.6359,68.37,0.8
fashion-mnist,alie,0.5,777,31,24,7.0,0,0,24,0,0,21.0,24.0,0.9135,0.2514,0.0778,0.3679,0.0,0.0,0.0,157.8718,23.8896,253.4301,229.5405,73.9,0.8
fashion-mnist,alie,0.5,777,32,24,6.0,0,1,23,1,1,19.0,24.0,0.913,0.1803,0.0609,0.3679,0.0,1.0,1.0,154.2117,18.1088,226.6469,208.5381,66.18,0.8
fashion-mnist,alie,0.5,777,33,24,5.0,0,0,24,0,0,21.0,24.0,0.9155,0.2496,0.047,0.3679,0.0,0.0,0.0,157.9655,23.8516,253.3721,229.5205,72.19,0.8
fashion-mnist,alie,0.5,777,34,24,7.0,0,1,23,1,1,20.0,24.0,0.099,0.2059,0.0518,0.3679,0.0,1.0,1.0,154.0422,18.7328,228.9733,210.2405,70.55,0.8
fashion-mnist,alie,0.5,777,35,24,6.0,1,0,23,1,1,19.0,24.0,0.101,0.1591,0.0441,0.3679,0.0,0.0,0.0,159.7518,12.6689,210.4275,197.7586,67.13,0.8
fashion-mnist,alie,0.5,777,36,24,8.0,0,0,24,0,0,21.0,24.0,0.112,0.1485,0.0588,0.3679,0.0,0.0,0.0,158.6211,12.2592,207.6578,195.3986,68.3,0.8
fashion-mnist,alie,0.5,777,37,24,6.0,0,0,24,0,0,22.0,24.0,0.9075,0.2156,0.04,0.3679,0.0,0.0,0.0,158.2443,24.0955,254.6263,230.5308,73.58,0.8
fashion-mnist,alie,0.5,777,38,24,10.0,0,0,24,0,0,20.0,24.0,0.1125,0.1387,0.062,0.3679,0.0,0.0,0.0,159.1752,18.2419,232.1429,213.901,70.82,0.8
fashion-mnist,alie,0.5,777,39,24,10.0,1,0,23,1,1,21.0,24.0,0.103,0.1255,0.0595,0.3679,0.0,0.0,0.0,160.495,12.9015,212.1008,199.1993,70.14,0.8
fashion-mnist,alie,0.5,777,40,24,9.0,0,1,23,0,0,19.0,24.0,0.101,0.1359,0.066,0.3679,1.0,0.0,1.0,152.8898,18.2622,225.9384,207.6763,71.18,0.8
fashion-mnist,alie,0.5,777,41,24,8.0,0,1,23,0,0,23.0,24.0,0.0955,0.2159,0.0617,0.3679,1.0,0.0,1.0,157.8655,18.3337,231.2002,212.8665,75.01,0.8
fashion-mnist,alie,0.5,777,42,24,8.0,0,1,23,0,0,20.0,24.0,0.1105,0.2121,0.0659,0.3679,1.0,0.0,1.0,152.5888,18.5819,226.9163,208.3344,75.39,0.8
fashion-mnist,alie,0.5,777,43,24,8.0,1,0,23,1,1,21.0,24.0,0.1095,0.0686,0.0655,0.3679,0.0,0.0,0.0,160.0467,12.2467,209.0337,196.7869,61.92,0.8
fashion-mnist,alie,0.5,777,44,24,9.0,0,0,24,0,0,20.0,24.0,0.0925,0.0938,0.0649,0.3679,0.0,0.0,0.0,157.775,12.2355,206.7171,194.4816,62.34,0.8
fashion-mnist,alie,0.5,777,45,24,8.0,0,1,23,0,0,22.0,24.0,0.097,0.2218,0.071,0.3679,1.0,0.0,1.0,158.7072,18.1423,231.2764,213.1341,71.52,0.8
fashion-mnist,alie,0.5,777,46,24,6.0,0,0,24,0,0,19.0,24.0,0.101,0.2543,0.0377,0.3679,0.0,0.0,0.0,159.6381,23.7006,254.4405,230.7399,70.79,0.8
fashion-mnist,alie,0.5,777,47,24,9.0,0,1,23,0,0,20.0,24.0,0.1025,0.1727,0.0762,0.3679,1.0,0.0,1.0,158.8209,18.8336,234.1551,215.3216,76.74,0.8
fashion-mnist,alie,0.5,777,48,24,8.0,0,1,23,0,0,23.0,24.0,0.103,0.2157,0.0429,0.3679,1.0,0.0,1.0,153.0444,18.8742,228.5411,209.6669,79.23,0.8
fashion-mnist,alie,0.5,777,49,24,6.0,0,0,24,0,0,21.0,24.0,0.9085,0.3011,0.0721,0.3679,0.0,0.0,0.0,159.0917,24.3569,256.5195,232.1625,76.92,0.8
fashion-mnist,alie,0.5,777,50,24,9.0,0,0,24,0,0,22.0,24.0,0.0985,0.1363,0.0715,0.3679,0.0,0.0,0.0,147.5238,18.4065,221.15,202.7435,73.08,0.8
fashion-mnist,alie,1.0,123,11,24,6.0,0,1,23,1,1,18.0,24.0,0.9,0.1583,0.0382,0.1698,0.0,1.0,1.0,153.4412,17.9252,225.1421,207.2168,54.83,0.8
fashion-mnist,alie,1.0,123,12,24,8.0,0,0,24,0,0,22.0,24.0,0.8955,0.248,0.0322,0.1698,0.0,0.0,0.0,159.3292,18.3614,232.7748,214.4134,63.84,0.8
fashion-mnist,alie,1.0,123,13,24,9.0,0,0,24,0,0,22.0,24.0,0.909,0.2443,0.0337,0.1698,0.0,0.0,0.0,159.0609,23.779,254.1768,230.3978,68.61,0.8
fashion-mnist,alie,1.0,123,14,24,9.0,0,2,22,0,0,21.0,24.0,0.8985,0.2393,0.0335,0.1698,2.0,0.0,2.0,152.2023,17.9743,224.0995,206.1252,62.02,0.8
fashion-mnist,alie,1.0,123,15,24,8.0,0,2,22,2,2,21.0,24.0,0.918,0.2134,0.0315,0.1698,0.0,2.0,2.0,153.8742,18.2516,226.8804,208.6288,56.64,0.8
fashion-mnist,alie,1.0,123,16,24,6.0,2,0,22,2,2,20.0,24.0,0.913,0.1876,0.0366,0.1698,0.0,0.0,0.0,147.5693,12.4918,197.5364,185.0446,54.33,0.8
fashion-mnist,alie,1.0,123,17,24,8.0,0,2,22,0,0,19.0,24.0,0.915,0.2125,0.0359,0.1698,2.0,0.0,2.0,145.7533,18.1403,218.3145,200.1742,64.03,0.8
fashion-mnist,alie,1.0,123,18,24,7.0,0,2,22,2,2,19.0,24.0,0.899,0.185,0.0412,0.1698,0.0,2.0,2.0,151.4979,17.9057,223.1205,205.2149,56.87,0.8
fashion-mnist,alie,1.0,123,19,24,6.0,0,0,24,0,0,21.0,24.0,0.913,0.2048,0.0298,0.1698,0.0,0.0,0.0,158.352,17.8873,229.9013,212.014,60.13,0.8
fashion-mnist,alie,1.0,123,20,24,7.0,1,0,23,1,1,21.0,24.0,0.912,0.0385,0.0347,0.1698,0.0,0.0,0.0,159.1201,12.2751,208.2203,195.9453,47.41,0.8
fashion-mnist,alie,1.0,123,21,24,8.0,0,2,22,1,1,20.0,24.0,0.91,0.2025,0.0385,0.1698,1.0,1.0,2.0,153.7333,18.1007,226.1361,208.0354,59.24,0.8
fashion-mnist,alie,1.0,123,22,24,8.0,2,0,22,2,2,21.0,24.0,0.914,0.0904,0.0318,0.1698,0.0,0.0,0.0,152.3983,12.2317,201.3249,189.0933,57.63,0.8
fashion-mnist,alie,1.0,123,23,24,8.0,1,0,23,1,1,22.0,24.0,0.914,0.0816,0.0341,0.1698,0.0,0.0,0.0,159.4817,12.2695,208.5598,196.2903,56.89,0.8
fashion-mnist,alie,1.0,123,24,24,8.0,0,0,24,0,0,21.0,24.0,0.9165,0.1108,0.0447,0.1698,0.0,0.0,0.0,139.9232,17.968,211.7952,193.8272,59.37,0.8
fashion-mnist,alie,1.0,123,25,24,5.0,1,0,23,1,1,21.0,24.0,0.901,0.0655,0.0304,0.1698,0.0,0.0,0.0,152.2175,12.1977,201.0082,188.8106,56.4,0.8
fashion-mnist,alie,1.0,123,26,24,6.0,0,0,24,0,0,21.0,24.0,0.909,0.209,0.0325,0.1698,0.0,0.0,0.0,158.5961,23.3323,251.9252,228.5929,72.66,0.8
fashion-mnist,alie,1.0,123,27,24,5.0,1,1,22,2,2,20.0,24.0,0.9055,0.108,0.0411,0.1698,0.0,1.0,1.0,158.8921,12.2948,208.0713,195.7765,54.04,0.8
fashion-mnist,alie,1.0,123,28,24,5.0,0,1,23,1,1,20.0,24.0,0.907,0.1362,0.0407,0.1698,0.0,1.0,1.0,152.0669,18.0303,224.188,206.1577,58.17,0.8
fashion-mnist,alie,1.0,123,29,24,10.0,0,0,24,0,0,21.0,24.0,0.9095,0.1833,0.0395,0.1698,0.0,0.0,0.0,158.6338,23.615,253.0939,229.4789,71.79,0.8
fashion-mnist,alie,1.0,123,30,24,6.0,0,2,22,0,0,21.0,24.0,0.909,0.105,0.0406,0.1698,2.0,0.0,2.0,153.9599,18.0529,226.1715,208.1186,61.14,0.8
fashion-mnist,alie,1.0,123,31,24,8.0,0,1,23,1,1,18.0,24.0,0.9115,0.043,0.0431,0.1698,0.0,1.0,1.0,159.6006,12.4044,209.2183,196.8139,52.42,0.8
fashion-mnist,alie,1.0,123,32,24,7.0,1,1,22,1,1,20.0,24.0,0.916,0.1072,0.0396,0.1698,1.0,0.0,1.0,157.7457,12.4369,207.4931,195.0563,56.39,0.8
fashion-mnist,alie,1.0,123,33,24,9.0,0,3,21,1,1,21.0,24.0,0.9085,0.1207,0.0448,0.1698,2.0,1.0,3.0,159.4772,12.5634,209.7306,197.1673,58.59,0.8
fashion-mnist,alie,1.0,123,34,24,6.0,0,2,22,1,1,19.0,24.0,0.9285,0.1347,0.0485,0.1698,1.0,1.0,2.0,157.8271,12.5688,208.1024,195.5336,58.71,0.8
fashion-mnist,alie,1.0,123,35,24,8.0,0,1,23,0,0,21.0,24.0,0.9155,0.1077,0.0445,0.1698,1.0,0.0,1.0,158.6518,12.6684,209.3253,196.6569,67.23,0.8
fashion-mnist,alie,1.0,123,36,24,9.0,0,2,22,0,0,21.0,24.0,0.9,0.1536,0.0519,0.1698,2.0,0.0,2.0,147.275,18.033,219.4068,201.3738,71.67,0.8
fashion-mnist,alie,1.0,123,37,24,8.0,0,0,24,0,0,22.0,24.0,0.902,0.1262,0.0526,0.1698,0.0,0.0,0.0,158.9029,17.9064,230.5284,212.622,68.74,0.8
fashion-mnist,alie,1.0,123,38,24,10.0,0,2,22,1,1,21.0,24.0,0.91,0.1059,0.0477,0.1698,1.0,1.0,2.0,152.0868,18.2388,225.042,206.8032,72.93,0.8
fashion-mnist,alie,1.0,123,39,24,6.0,1,1,22,2,2,20.0,24.0,0.911,0.1547,0.0619,0.1698,0.0,1.0,1.0,146.3777,12.5472,196.5666,184.0193,65.0,0.8
fashion-mnist,alie,1.0,123,40,24,6.0,1,1,22,2,2,22.0,24.0,0.923,0.1163,0.0555,0.1698,0.0,1.0,1.0,147.0484,12.3847,196.5871,184.2024,65.14,0.8
fashion-mnist,alie,1.0,123,41,24,8.0,0,1,23,0,0,21.0,24.0,0.918,0.1767,0.0544,0.1698,1.0,0.0,1.0,152.3577,17.0458,220.5408,203.495,64.76,0.8
fashion-mnist,alie,1.0,123,42,24,7.0,0,1,23,0,0,19.0,24.0,0.9315,0.1016,0.052,0.1698,1.0,0.0,1.0,157.5227,12.698,208.3147,195.6167,65.61,0.8
fashion-mnist,alie,1.0,123,43,24,7.0,0,1,23,0,0,22.0,24.0,0.916,0.1414,0.0582,0.1698,1.0,0.0,1.0,152.9009,17.4571,222.7292,205.2722,62.14,0.8
fashion-mnist,alie,1.0,123,44,24,6.0,0,0,24,0,0,20.0,24.0,0.9235,0.1247,0.0464,0.1698,0.0,0.0,0.0,159.375,18.0814,231.7007,213.6193,71.87,0.8
fashion-mnist,alie,1.0,123,45,24,7.0,0,0,24,0,0,23.0,24.0,0.9035,0.1604,0.0524,0.1698,0.0,0.0,0.0,160.0608,23.6659,254.7245,231.0586,73.66,0.8
fashion-mnist,alie,1.0,123,46,24,9.0,0,1,23,1,1,19.0,24.0,0.9135,0.1419,0.0516,0.1698,0.0,1.0,1.0,152.74,18.5469,226.9276,208.3807,68.37,0.8
fashion-mnist,alie,1.0,123,47,24,8.0,0,2,22,0,0,20.0,24.0,0.9285,0.108,0.0551,0.1698,2.0,0.0,2.0,158.9801,13.0005,210.9821,197.9816,66.98,0.8
fashion-mnist,alie,1.0,123,48,24,7.0,0,3,21,1,1,19.0,24.0,0.913,0.0713,0.0562,0.1698,2.0,1.0,3.0,152.0693,17.7625,223.1192,205.3567,62.93,0.8
fashion-mnist,alie,1.0,123,49,24,8.0,0,0,24,0,0,22.0,24.0,0.8895,0.1256,0.0619,0.1698,0.0,0.0,0.0,154.9622,17.731,225.8864,208.1553,70.33,0.8
fashion-mnist,alie,1.0,123,50,24,8.0,0,0,24,0,0,20.0,24.0,0.9065,0.1408,0.0674,0.1698,0.0,0.0,0.0,153.0892,18.204,225.9054,207.7013,69.03,0.8
fashion-mnist,alie,1.0,42,11,24,7.0,0,1,23,1,1,20.0,24.0,0.9,0.2464,0.0369,0.1626,0.0,1.0,1.0,153.3567,18.2611,226.4011,208.14,56.43,0.8
fashion-mnist,alie,1.0,42,12,24,7.0,0,2,22,0,0,20.0,24.0,0.908,0.2255,0.0305,0.1626,2.0,0.0,2.0,157.3892,12.4862,207.3341,194.8479,59.63,0.8
fashion-mnist,alie,1.0,42,13,24,6.0,2,1,21,3,3,20.0,24.0,0.9085,0.203,0.031,0.1626,0.0,1.0,1.0,159.4672,12.2339,208.4026,196.1688,47.55,0.8
fashion-mnist,alie,1.0,42,14,24,8.0,0,0,24,0,0,19.0,24.0,0.906,0.2183,0.0382,0.1626,0.0,0.0,0.0,158.4326,18.4489,232.2284,213.7795,62.46,0.8
fashion-mnist,alie,1.0,42,15,24,9.0,0,2,22,1,1,19.0,24.0,0.9155,0.1531,0.0334,0.1626,1.0,1.0,2.0,159.0522,12.508,209.0841,196.5761,51.9,0.8
fashion-mnist,alie,1.0,42,16,24,5.0,1,2,21,3,3,20.0,24.0,0.916,0.045,0.0336,0.1626,0.0,2.0,2.0,157.275,12.1689,205.9505,193.7816,45.54,0.8
fashion-mnist,alie,1.0,42,17,24,6.0,0,1,23,1,1,22.0,24.0,0.904,0.131,0.0372,0.1626,0.0,1.0,1.0,154.0546,18.2652,227.1152,208.8501,57.28,0.8
fashion-mnist,alie,1.0,42,18,24,8.0,0,1,23,1,1,19.0,24.0,0.913,0.142,0.0328,0.1626,0.0,1.0,1.0,157.6655,12.5367,207.8123,195.2756,52.43,0.8
fashion-mnist,alie,1.0,42,19,24,11.0,0,2,22,0,0,21.0,24.0,0.9005,0.1009,0.0337,0.1626,2.0,0.0,2.0,152.6225,18.0296,224.7408,206.7112,59.68,0.8
fashion-mnist,alie,1.0,42,20,24,7.0,0,0,24,0,0,20.0,24.0,0.919,0.2577,0.0321,0.1626,0.0,0.0,0.0,158.6188,23.6899,253.3785,229.6886,70.77,0.8
fashion-mnist,alie,1.0,42,21,24,6.0,0,0,24,0,0,20.0,24.0,0.9105,0.2584,0.0362,0.1626,0.0,0.0,0.0,158.3157,23.4509,252.1191,228.6683,69.01,0.8
fashion-mnist,alie,1.0,42,22,24,8.0,0,2,22,0,0,20.0,24.0,0.901,0.1857,0.0337,0.1626,2.0,0.0,2.0,147.1616,17.8179,218.4331,200.6152,66.02,0.8
fashion-mnist,alie,1.0,42,23,24,3.0,0,1,23,0,0,19.0,24.0,0.9015,0.1797,0.0329,0.1626,1.0,0.0,1.0,158.8975,12.6158,209.3606,196.7448,55.39,0.8
fashion-mnist,alie,1.0,42,24,24,8.0,2,0,22,2,2,19.0,24.0,0.91,0.1777,0.0358,0.1626,0.0,0.0,0.0,146.4894,12.7744,197.5868,184.8125,61.68,0.8
fashion-mnist,alie,1.0,42,25,24,8.0,0,1,23,0,0,23.0,24.0,0.908,0.1923,0.041,0.1626,1.0,0.0,1.0,158.7425,12.6496,209.3409,196.6913,64.45,0.8
fashion-mnist,alie,1.0,42,26,24,8.0,0,1,23,0,0,20.0,24.0,0.9185,0.1246,0.0407,0.1626,1.0,0.0,1.0,152.5775,17.8038,223.7927,205.9889,58.48,0.8
fashion-mnist,alie,1.0,42,27,24,7.0,0,1,23,0,0,20.0,24.0,0.9125,0.1845,0.0388,0.1626,1.0,0.0,1.0,158.6726,12.4457,208.4553,196.0096,56.29,0.8
fashion-mnist,alie,1.0,42,28,24,7.0,1,0,23,1,1,21.0,24.0,0.914,0.1264,0.0396,0.1626,0.0,0.0,0.0,147.193,12.7499,198.1925,185.4426,60.72,0.8
fashion-mnist,alie,1.0,42,29,24,6.0,2,0,22,2,2,19.0,24.0,0.92,0.0898,0.0634,0.1626,0.0,0.0,0.0,157.9038,12.153,206.516,194.3629,50.54,0.8
fashion-mnist,alie,1.0,42,30,24,8.0,2,0,22,2,2,20.0,24.0,0.92,0.0833,0.0445,0.1626,0.0,0.0,0.0,146.4854,12.4133,196.1386,183.7253,59.25,0.8
fashion-mnist,alie,1.0,42,31,24,7.0,0,0,24,0,0,20.0,24.0,0.91,0.2134,0.041,0.1626,0.0,0.0,0.0,158.2264,23.5019,252.2339,228.732,70.49,0.8
fashion-mnist,alie,1.0,42,32,24,8.0,1,0,23,1,1,20.0,24.0,0.92,0.1162,0.0423,0.1626,0.0,0.0,0.0,159.7704,12.1204,208.2518,196.1315,53.79,0.8
fashion-mnist,alie,1.0,42,33,24,7.0,0,0,24,0,0,21.0,24.0,0.917,0.1351,0.0462,0.1626,0.0,0.0,0.0,148.1596,12.6767,198.8665,186.1898,60.55,0.8
fashion-mnist,alie,1.0,42,34,24,8.0,0,0,24,0,0,22.0,24.0,0.9195,0.1509,0.0486,0.1626,0.0,0.0,0.0,152.5938,18.5839,226.9294,208.3455,63.61,0.8
fashion-mnist,alie,1.0,42,35,24,10.0,1,1,22,2,2,21.0,24.0,0.9095,0.1149,0.0516,0.1626,0.0,1.0,1.0,146.2949,12.825,197.5951,184.7701,63.28,0.8
fashion-mnist,alie,1.0,42,36,24,7.0,0,0,24,0,0,20.0,24.0,0.9105,0.1779,0.0488,0.1626,0.0,0.0,0.0,158.6897,23.6566,253.3162,229.6596,69.99,0.8
fashion-mnist,alie,1.0,42,37,24,9.0,0,1,23,1,1,19.0,24.0,0.9,0.0807,0.0487,0.1626,0.0,1.0,1.0,141.2358,17.58,211.5558,193.9758,61.87,0.8
fashion-mnist,alie,1.0,42,38,24,9.0,0,2,22,1,1,19.0,24.0,0.924,0.149,0.0511,0.1626,1.0,1.0,2.0,158.6528,12.8215,209.9387,197.1172,60.57,0.8
fashion-mnist,alie,1.0,42,39,24,7.0,0,0,24,0,0,21.0,24.0,0.8985,0.093,0.0498,0.1626,0.0,0.0,0.0,147.7003,12.4935,197.6743,185.1808,62.65,0.8
fashion-mnist,alie,1.0,42,40,24,6.0,0,1,23,1,1,21.0,24.0,0.9125,0.1973,0.0569,0.1626,0.0,1.0,1.0,140.3174,17.5534,210.5312,192.9777,68.99,0.8
fashion-mnist,alie,1.0,42,41,24,6.0,0,0,24,0,0,19.0,24.0,0.906,0.0941,0.0511,0.1626,0.0,0.0,0.0,153.339,12.4445,203.117,190.6725,61.68,0.8
fashion-mnist,alie,1.0,42,42,24,7.0,0,0,24,0,0,23.0,24.0,0.917,0.0975,0.048,0.1626,0.0,0.0,0.0,147.4619,12.3056,196.6841,184.3786,61.46,0.8
fashion-mnist,alie,1.0,42,43,24,7.0,0,0,24,0,0,22.0,24.0,0.912,0.1459,0.0504,0.1626,0.0,0.0,0.0,159.9694,18.5405,234.1315,215.591,69.42,0.8
fashion-mnist,alie,1.0,42,44,24,8.0,1,0,23,1,1,19.0,24.0,0.913,0.1538,0.0573,0.1626,0.0,0.0,0.0,151.7098,12.105,200.1297,188.0247,62.38,0.8
fashion-mnist,alie,1.0,42,45,24,8.0,0,0,24,0,0,21.0,24.0,0.9135,0.1467,0.0524,0.1626,0.0,0.0,0.0,159.5579,18.0779,231.8696,213.7916,70.63,0.8
fashion-mnist,alie,1.0,42,46,24,9.0,2,0,22,2,2,20.0,24.0,0.9145,0.0815,0.0474,0.1626,0.0,0.0,0.0,148.3179,12.4246,198.0164,185.5918,62.96,0.8
fashion-mnist,alie,1.0,42,47,24,7.0,0,2,22,0,0,21.0,24.0,0.916,0.1752,0.0593,0.1626,2.0,0.0,2.0,151.9056,18.2117,224.7524,206.5407,63.75,0.8
fashion-mnist,alie,1.0,42,48,24,7.0,0,1,23,0,0,19.0,24.0,0.9075,0.0844,0.0488,0.1626,1.0,0.0,1.0,153.3373,18.0445,225.5153,207.4708,64.16,0.8
fashion-mnist,alie,1.0,42,49,24,8.0,1,0,23,1,1,20.0,24.0,0.9045,0.1774,0.0572,0.1626,0.0,0.0,0.0,145.5599,13.4182,199.2326,185.8144,72.38,0.8
fashion-mnist,alie,1.0,42,50,24,6.0,0,1,23,0,0,20.0,24.0,0.9155,0.1239,0.0611,0.1626,1.0,0.0,1.0,159.2165,12.5237,209.3115,196.7877,67.15,0.8
fashion-mnist,alie,1.0,777,11,24,7.0,1,0,23,1,1,21.0,24.0,0.9,0.2007,0.0341,0.167,0.0,0.0,0.0,147.9038,12.8168,199.1709,186.3542,55.4,0.8
fashion-mnist,alie,1.0,777,12,24,6.0,0,1,23,1,1,23.0,24.0,0.91,0.1181,0.036,0.167,0.0,1.0,1.0,151.919,18.0177,223.9898,205.9721,55.02,0.8
fashion-mnist,alie,1.0,777,13,24,8.0,1,2,21,3,3,19.0,24.0,0.9065,0.0438,0.0379,0.167,0.0,2.0,2.0,159.2285,12.082,207.5565,195.4745,44.95,0.8
fashion-mnist,alie,1.0,777,14,24,10.0,0,0,24,0,0,20.0,24.0,0.8975,0.2573,0.0343,0.167,0.0,0.0,0.0,157.3693,18.0966,229.7556,211.659,60.62,0.8
fashion-mnist,alie,1.0,777,15,24,4.0,0,1,23,1,1,20.0,24.0,0.9175,0.23,0.0297,0.167,0.0,1.0,1.0,159.4715,12.3005,208.6736,196.3731,46.79,0.8
fashion-mnist,alie,1.0,777,16,24,8.0,0,2,22,0,0,21.0,24.0,0.9065,0.1712,0.0307,0.167,2.0,0.0,2.0,153.4488,17.9818,225.3759,207.3941,61.2,0.8
fashion-mnist,alie,1.0,777,17,24,9.0,0,2,22,0,0,21.0,24.0,0.911,0.1691,0.0321,0.167,2.0,0.0,2.0,152.2715,18.2356,225.2138,206.9782,61.9,0.8
fashion-mnist,alie,1.0,777,18,24,7.0,0,1,23,0,0,21.0,24.0,0.9185,0.2019,0.0328,0.167,1.0,0.0,1.0,146.551,18.0738,218.846,200.7722,64.15,0.8
fashion-mnist,alie,1.0,777,19,24,6.0,0,0,24,0,0,22.0,24.0,0.907,0.2674,0.0412,0.167,0.0,0.0,0.0,158.6184,23.408,252.2502,228.8423,69.14,0.8
fashion-mnist,alie,1.0,777,20,24,7.0,1,0,23,1,1,19.0,24.0,0.902,0.099,0.0389,0.167,0.0,0.0,0.0,146.8431,12.3479,196.2348,183.8869,53.31,0.8
fashion-mnist,alie,1.0,777,21,24,7.0,0,1,23,0,0,21.0,24.0,0.904,0.0866,0.0455,0.167,1.0,0.0,1.0,146.705,12.12,195.1851,183.0651,51.73,0.8
fashion-mnist,alie,1.0,777,22,24,9.0,1,0,23,1,1,20.0,24.0,0.902,0.1164,0.0401,0.167,0.0,0.0,0.0,147.7451,12.4094,197.3829,184.9735,58.05,0.8
