attack,alpha,separation_mad_mean,separation_mad_std,overlap_rate_mean,overlap_rate_std,benign_pct_above_thr_mean,benign_pct_above_thr_std,attacker_pct_below_thr_mean,attacker_pct_below_thr_std,K1.5_attacker_caught_mean,K1.5_benign_flagged_mean,K2.0_attacker_caught_mean,K2.0_benign_flagged_mean,K2.5_attacker_caught_mean,K2.5_benign_flagged_mean,K3.0_attacker_caught_mean,K3.0_benign_flagged_mean,K3.5_attacker_caught_mean,K3.5_benign_flagged_mean
on_off,0.25,4.873345964073091,7.426206622837201,0.5749433032603505,0.31579871180442354,0.07931446164273176,0.05728605173254971,0.616456228956229,0.3194511419044165,3.4625,2.341666666666667,3.120833333333333,1.7541666666666667,2.754166666666667,1.3458333333333334,2.370833333333333,1.0416666666666667,2.0166666666666666,0.8125
on_off,0.5,3.312016086208616,6.8652360917811555,0.6792006466329222,0.3593251509969076,0.06495482732566711,0.06854365741810599,0.6624101130351131,0.3405975098777957,2.904166666666667,2.591666666666667,2.7041666666666666,1.6708333333333334,2.433333333333333,1.0833333333333333,2.1416666666666666,0.6541666666666667,1.8208333333333333,0.30833333333333335
on_off,1.0,5.738660794145344,13.07322224437356,0.7414257374677267,0.3795367304903139,0.10091357632234181,0.08261377006435665,0.7530968915343916,0.3869777739505244,2.5375,2.9625,2.0875,2.2291666666666665,1.8,1.7166666666666666,1.6708333333333334,1.2583333333333333,1.5541666666666667,0.875
sign_flip,0.1,459.58426405538825,153.3718141338697,0.0,0.0,0.03503651643405901,0.04511216991279752,0.0,0.0,7.316666666666666,1.2458333333333333,7.316666666666666,0.8583333333333333,7.316666666666666,0.6166666666666667,7.316666666666666,0.425,7.316666666666666,0.2708333333333333
sign_flip,0.25,720.9927415950976,205.70606988769717,0.0,0.0,0.03602838796337248,0.03148201201544674,0.0,0.0,7.0625,1.15,7.0625,0.775,7.0625,0.6208333333333333,7.0625,0.5166666666666667,7.0625,0.475
sign_flip,0.5,648.147911157385,175.66747067309393,0.0,0.0,0.0022782651072124757,0.012074092917853066,0.0,0.0,7.070833333333334,0.3416666666666667,7.070833333333334,0.14583333333333334,7.070833333333334,0.041666666666666664,7.070833333333334,0.016666666666666666,7.070833333333334,0.004166666666666667
sign_flip,1.0,995.2608146811777,454.21074840469987,0.0,0.0,0.011051037008370599,0.025960019700118315,0.004166666666666667,0.06454972243679027,7.266666666666667,0.6583333333333333,7.266666666666667,0.37083333333333335,7.266666666666667,0.2,7.266666666666667,0.1,7.266666666666667,0.041666666666666664
slow_poison,0.1,-0.14366607895503505,0.5939505778000789,0.8290206682650568,0.11155673513058992,0.18627989007681345,0.08080000652673763,0.9623726851851852,0.06700194363143452,0.6541666666666667,4.604166666666667,0.3875,3.7875,0.2791666666666667,3.1125,0.17916666666666667,2.5166666666666666,0.12916666666666668,1.9458333333333333
slow_poison,0.25,3.939230446875539,1.5147381288132993,0.33074480995727124,0.22884369241154484,0.0430024883885178,0.035102625832789405,0.7524433321308321,0.21532517182745073,4.05,1.4791666666666667,2.7583333333333333,0.9958333333333333,1.675,0.7333333333333333,0.8291666666666667,0.6458333333333334,0.4083333333333333,0.6041666666666666
slow_poison,0.5,3.5646255430917306,1.5802253912518136,0.4041968233255966,0.25984449158495815,0.010479607413140694,0.026254069035987218,0.7305522486772487,0.22009536144392952,3.8958333333333335,0.8125,2.7916666666666665,0.37083333333333335,1.8291666666666666,0.18333333333333332,1.0833333333333333,0.05416666666666667,0.625,0.016666666666666666
