config,attack,alpha,n_seeds,DR_mean,DR_std,DR_sem,DR_min,DR_max,DR_n,FPR_mean,FPR_std,FPR_sem,FPR_min,FPR_max,FPR_n,acc_mean,acc_std,acc_sem,acc_min,acc_max,acc_n,ASR_mean,ASR_std,ASR_sem,ASR_min,ASR_max,ASR_n,gas_flagged_count_mean,gas_flagged_count_std,gas_flagged_count_sem,gas_flagged_count_min,gas_flagged_count_max,gas_flagged_count_n,gas_only_caught_mean,gas_only_caught_std,gas_only_caught_sem,gas_only_caught_min,gas_only_caught_max,gas_only_caught_n,gas_false_flag_mean,gas_false_flag_std,gas_false_flag_sem,gas_false_flag_min,gas_false_flag_max,gas_false_flag_n
G_ON,minmax,0.1,6,0.5095011123136123,0.34653908848097065,0.02236900197494496,0.0,1.0,240,0.4141549339033859,0.3236235733509621,0.02088981183380684,0.0,1.0,240,0.10204791666666665,0.01193719600078793,0.0007705426885244238,0.063,0.216,240,,,,,,0,2.404166666666667,2.308612067719254,0.14902026818550232,0.0,10.0,240,0.31666666666666665,0.6904408067827761,0.044567762436861745,0.0,5.0,240,1.55,1.5623713336145217,0.10085063592801524,0.0,8.0,240
G_ON,minmax,0.25,6,0.5875523088023088,0.303150207701715,0.019568261763801026,0.0,1.0,240,0.22363427875086156,0.21396190054215677,0.013811181292044348,0.0,0.9333333333333333,240,0.1447125,0.08614570372267254,0.005560681264420483,0.0745,0.4995,240,,,,,,0,3.220833333333333,2.085310080324222,0.13460618687956938,0.0,9.0,240,0.6333333333333333,0.9367738936128253,0.06046849481873918,0.0,4.0,240,1.4041666666666666,1.3347556047483944,0.08615810380745902,0.0,6.0,240
G_ON,minmax,0.5,6,0.9910102513227513,0.03406190069679264,0.002198686235647478,0.8333333333333334,1.0,240,0.07787155443598942,0.06851286155140081,0.004422486196493163,0.0,0.29411764705882354,240,0.6481729166666667,0.08234714694938934,0.005315485479044663,0.297,0.7845,240,,,,,,0,2.4291666666666667,2.532463560959401,0.16346981994121484,0.0,9.0,240,0.058333333333333334,0.23486249278256213,0.015160308719927046,0.0,1.0,240,0.05416666666666667,0.244571466511366,0.015787020279267424,0.0,2.0,240
G_ON,minmax,1.0,6,0.973290343915344,0.05219870787950375,0.003369412105181065,0.8333333333333334,1.0,240,0.02022323988074762,0.03125502746613265,0.002017503347693119,0.0,0.1875,240,0.5051645833333334,0.16937624614197777,0.010933189675850136,0.095,0.7565,240,,,,,,0,5.8,2.2744717534676435,0.14681652037665607,0.0,9.0,240,0.37916666666666665,0.48619362386648385,0.03138366347111875,0.0,1.0,240,0.1375,0.36854627909210536,0.023789560020507246,0.0,2.0,240
G_ON,on_off,0.1,6,0.5406498015873016,0.2835948248225331,0.018305967226804675,0.0,1.0,240,0.44014482949612593,0.13911055235813344,0.008979547542746096,0.1111111111111111,0.8235294117647058,240,0.50534375,0.11392125281798496,0.007353585249052341,0.1945,0.716,240,,,,,,0,2.8833333333333333,2.0277709316353993,0.13089205080245667,0.0,9.0,240,0.475,0.7022081132467948,0.0453273388029428,0.0,4.0,240,1.8333333333333333,1.5515322880060356,0.10015097854250775,0.0,6.0,240
G_ON,on_off,0.25,6,0.4008866943241943,0.31988416711429735,0.02064843419915173,0.0,1.0,240,0.10487960253827126,0.05515389851832146,0.003560168840664549,0.0,0.2631578947368421,240,0.6311458333333333,0.09146642148196722,0.005904132118947456,0.3915,0.7515,240,,,,,,0,4.1,2.1778650633842362,0.1405805853462351,1.0,11.0,240,0.8458333333333333,0.8564200894394859,0.05528167906260992,0.0,4.0,240,1.3458333333333334,0.9901097385046415,0.06391130880243762,0.0,5.0,240
G_ON,on_off,0.5,6,0.3474289021164021,0.34002705195003674,0.02194865182437494,0.0,1.0,240,0.09395717289389889,0.06933763122503907,0.004475724850000795,0.0,0.3125,240,0.6675395833333333,0.08214042659880719,0.005302141737792549,0.4395,0.785,240,,,,,,0,3.5166666666666666,2.262975910633164,0.14607446691251347,0.0,9.0,240,0.4666666666666667,0.6195332746367607,0.039990700918158664,0.0,3.0,240,1.0833333333333333,1.1247190878167326,0.07260030493793004,0.0,5.0,240
G_ON,on_off,1.0,6,0.24690310846560848,0.3869777739505244,0.024979307897713323,0.0,1.0,240,0.1048926979417498,0.08173578483337324,0.005276022224147455,0.0,0.35294117647058826,240,0.6918854166666667,0.08012850815976387,0.0051722729609868425,0.488,0.814,240,,,,,,0,3.5166666666666666,2.597015774778639,0.167636647425927,0.0,10.0,240,0.32083333333333336,0.6078146371994206,0.03923426612424098,0.0,3.0,240,1.7166666666666666,1.4064009875552468,0.09078279338151891,0.0,6.0,240
G_ON,sign_flip,0.1,6,1.0,0.0,0.0,1.0,1.0,240,0.34934844259341163,0.09894146424597519,0.006386644054567308,0.13333333333333333,0.6470588235294118,240,0.49919583333333334,0.10556557770388685,0.006814228739665312,0.25,0.694,240,,,,,,0,7.933333333333334,1.1108693367822646,0.07170630735283648,5.0,10.0,240,0.0,0.0,0.0,0.0,0.0,240,0.6166666666666667,0.8098073879502461,0.05227284211945053,0.0,4.0,240
G_ON,sign_flip,0.25,6,1.0,0.0,0.0,1.0,1.0,240,0.09853107701695163,0.04945236181115841,0.003192136228754003,0.0,0.2,240,0.6327812500000001,0.0868450085192414,0.00560582119493772,0.387,0.7595,240,,,,,,0,7.683333333333334,1.3192068958395735,0.08515443896314417,4.0,11.0,240,0.0,0.0,0.0,0.0,0.0,240,0.6208333333333333,0.5507538893035478,0.035551010685526734,0.0,2.0,240
